"","X1","X2","X3"
"14549",73114,"not default",NA
"14550",73132,"not default",NA
"14551",73133,"not default",NA
"14552",73156,"not default",NA
"14553",73159,"not default",NA
"14554",73167,"not default",NA
"14555",73169,"not default",NA
"14556",73174,"not default",NA
"14557",73179,"not default",NA
"14558",73189,"not default",NA
"14559",73202,"not default",NA
"14560",73205,"not default",NA
"14561",73207,"not default",NA
"14562",73220,"not default",NA
"14563",73222,"not default",NA
"14564",73227,"not default",NA
"14565",73239,"not default",NA
"14566",73240,"not default",NA
"14567",73253,"not default",NA
"14568",73261,"not default",NA
"14569",73264,"not default",NA
"14570",73266,"not default",NA
"14571",73274,"not default",NA
"14572",73277,"not default",NA
"14573",73279,"not default",NA
"14574",73288,"not default",NA
"14575",73289,"not default",NA
"14576",73301,"not default",NA
"14577",73303,"not default",NA
"14578",73305,"not default",NA
"14579",73315,"not default",NA
"14580",73322,"not default",NA
"14581",73325,"not default",NA
"14582",73326,"not default",NA
"14583",73329,"not default",NA
"14584",73330,"not default",NA
"14585",73334,"not default",NA
"14586",73336,"not default",NA
"14587",73344,"not default",NA
"14588",73346,"not default",NA
"14589",73350,"not default",NA
"14590",73359,"not default",NA
"14591",73368,"not default",NA
"14592",73373,"not default",NA
"14593",73375,"not default",NA
"14594",73376,"not default",NA
"14595",73377,"not default",NA
"14596",73379,"not default",NA
"14597",73380,"not default",NA
"14598",73385,"not default",NA
"14599",73392,"not default",NA
"14600",73399,"not default",NA
"14601",73400,"not default",NA
"14602",73401,"not default",NA
"14603",73404,"not default",NA
"14604",73419,"not default",NA
"14605",73430,"not default",NA
"14606",73431,"not default",NA
"14607",73435,"not default",NA
"14608",73436,"not default",NA
"14609",73437,"not default",NA
"14610",73439,"not default",NA
"14611",73444,"not default",NA
"14612",73456,"not default",NA
"14613",73463,"not default",NA
"14614",73470,"not default",NA
"14615",73474,"not default",NA
"14616",73491,"not default",NA
"14617",73494,"not default",NA
"14618",73518,"not default",NA
"14619",73526,"not default",NA
"14620",73538,"not default",NA
"14621",73542,"not default",NA
"14622",73543,"not default",NA
"14623",73546,"not default",NA
"14624",73551,"not default",NA
"14625",73560,"not default",NA
"14626",73568,"not default",NA
"14627",73587,"not default",NA
"14628",73609,"not default",NA
"14629",73619,"not default",NA
"14630",73624,"not default",NA
"14631",73626,"not default",NA
"14632",73642,"not default",NA
"14633",73648,"not default",NA
"14634",73650,"not default",NA
"14635",73658,"not default",NA
"14636",73662,"not default",NA
"14637",73672,"not default",NA
"14638",73680,"not default",NA
"14639",73681,"not default",NA
"14640",73683,"not default",NA
"14641",73684,"not default",NA
"14642",73687,"default",2010-02-01
"14643",73688,"default",2010-02-01
"14644",73693,"not default",NA
"14645",73699,"not default",NA
"14646",73710,"not default",NA
"14647",73719,"not default",NA
"14648",73720,"not default",NA
"14649",73733,"not default",NA
"14650",73741,"not default",NA
"14651",73743,"not default",NA
"14652",73745,"not default",NA
"14653",73747,"not default",NA
"14654",73748,"not default",NA
"14655",73755,"not default",NA
"14656",73756,"not default",NA
"14657",73758,"not default",NA
"14658",73759,"not default",NA
"14659",73763,"not default",NA
"14660",73767,"not default",NA
"14661",73768,"not default",NA
"14662",73772,"not default",NA
"14663",73773,"default",2011-02-01
"14664",73776,"not default",NA
"14665",73781,"default",2011-02-01
"14666",73782,"not default",NA
"14667",73783,"not default",NA
"14668",73788,"not default",NA
"14669",73794,"not default",NA
"14670",73796,"not default",NA
"14671",73804,"not default",NA
"14672",73805,"not default",NA
"14673",73807,"not default",NA
"14674",73808,"not default",NA
"14675",73817,"not default",NA
"14676",73818,"not default",NA
"14677",73824,"not default",NA
"14678",73827,"not default",NA
"14679",73828,"not default",NA
"14680",73829,"not default",NA
"14681",73832,"not default",NA
"14682",73839,"not default",NA
"14683",73851,"not default",NA
"14684",73853,"not default",NA
"14685",73861,"not default",NA
"14686",73863,"not default",NA
"14687",73866,"not default",NA
"14688",73878,"default",2009-06-01
"14689",73902,"not default",NA
"14690",73911,"not default",NA
"14691",73920,"not default",NA
"14692",73925,"not default",NA
"14693",73927,"not default",NA
"14694",73939,"not default",NA
"14695",73943,"not default",NA
"14696",73945,"not default",NA
"14697",73951,"not default",NA
"14698",73952,"not default",NA
"14699",73960,"not default",NA
"14700",73961,"not default",NA
"14701",73963,"not default",NA
"14702",74000,"not default",NA
"14703",74004,"not default",NA
"14704",74019,"not default",NA
"14705",74024,"not default",NA
"14706",74027,"not default",NA
"14707",74028,"not default",NA
"14708",74030,"not default",NA
"14709",74032,"not default",NA
"14710",74038,"not default",NA
"14711",74039,"not default",NA
"14712",74044,"not default",NA
"14713",74049,"not default",NA
"14714",74056,"not default",NA
"14715",74057,"not default",NA
"14716",74058,"not default",NA
"14717",74061,"not default",NA
"14718",74062,"not default",NA
"14719",74068,"not default",NA
"14720",74071,"not default",NA
"14721",74073,"not default",NA
"14722",74074,"not default",NA
"14723",74080,"not default",NA
"14724",74087,"not default",NA
"14725",74099,"not default",NA
"14726",74104,"not default",NA
"14727",74105,"not default",NA
"14728",74109,"not default",NA
"14729",74117,"not default",NA
"14730",74124,"not default",NA
"14731",74130,"not default",NA
"14732",74131,"not default",NA
"14733",74140,"not default",NA
"14734",74145,"not default",NA
"14735",74153,"not default",NA
"14736",74175,"not default",NA
"14737",74187,"default",2009-06-01
"14738",74192,"not default",NA
"14739",74194,"not default",NA
"14740",74200,"not default",NA
"14741",74209,"not default",NA
"14742",74214,"not default",NA
"14743",74230,"not default",NA
"14744",74234,"not default",NA
"14745",74239,"not default",NA
"14746",74249,"not default",NA
"14747",74252,"not default",NA
"14748",74263,"not default",NA
"14749",74270,"not default",NA
"14750",74276,"not default",NA
"14751",74279,"not default",NA
"14752",74280,"not default",NA
"14753",74282,"not default",NA
"14754",74285,"not default",NA
"14755",74288,"not default",NA
"14756",74289,"not default",NA
"14757",74291,"not default",NA
"14758",74292,"not default",NA
"14759",74293,"not default",NA
"14760",74297,"not default",NA
"14761",74303,"not default",NA
"14762",74306,"not default",NA
"14763",74327,"not default",NA
"14764",74329,"not default",NA
"14765",74333,"not default",NA
"14766",74336,"not default",NA
"14767",74339,"not default",NA
"14768",74341,"not default",NA
"14769",74342,"not default",NA
"14770",74344,"not default",NA
"14771",74348,"not default",NA
"14772",74349,"not default",NA
"14773",74352,"not default",NA
"14774",74355,"not default",NA
"14775",74362,"not default",NA
"14776",74368,"not default",NA
"14777",74381,"not default",NA
"14778",74383,"not default",NA
"14779",74391,"not default",NA
"14780",74392,"not default",NA
"14781",74417,"not default",NA
"14782",74427,"not default",NA
"14783",74436,"not default",NA
"14784",74439,"not default",NA
"14785",74461,"not default",NA
"14786",74463,"not default",NA
"14787",74466,"not default",NA
"14788",74467,"not default",NA
"14789",74472,"not default",NA
"14790",74477,"not default",NA
"14791",74482,"not default",NA
"14792",74484,"not default",NA
"14793",74487,"not default",NA
"14794",74488,"not default",NA
"14795",74493,"not default",NA
"14796",74496,"not default",NA
"14797",74498,"not default",NA
