"","X1","X2","X3"
"39650",186087,"not paid",NA
"39651",186091,"paid",2010-10-01
"39652",186095,"not paid",NA
"39653",186096,"paid",2011-05-01
"39654",186098,"not paid",NA
"39655",186100,"not paid",NA
"39656",186108,"paid",2011-05-01
"39657",186109,"not paid",NA
"39658",186113,"paid",2011-05-01
"39659",186117,"not paid",NA
"39660",186120,"paid",2011-03-01
"39661",186124,"paid",2011-03-01
"39662",186126,"paid",2011-05-01
"39663",186130,"not paid",NA
"39664",186133,"not paid",NA
"39665",186134,"paid",2010-08-01
"39666",186139,"not paid",NA
"39667",186147,"not paid",NA
"39668",186148,"paid",2011-11-01
"39669",186149,"paid",2011-05-01
"39670",186150,"paid",2010-08-01
"39671",186151,"not paid",NA
"39672",186157,"paid",2010-09-01
"39673",186159,"not paid",NA
"39674",186160,"paid",2011-03-01
"39675",186169,"paid",2010-07-01
"39676",186173,"paid",2011-03-01
"39677",186174,"paid",2010-08-01
"39678",186176,"paid",2010-09-01
"39679",186177,"paid",2010-08-01
"39680",186179,"paid",2011-04-01
"39681",186180,"not paid",NA
"39682",186181,"paid",2010-09-01
"39683",186182,"paid",2010-07-01
"39684",186184,"not paid",NA
"39685",186186,"paid",2010-09-01
"39686",186190,"paid",2010-09-01
"39687",186193,"not paid",NA
"39688",186195,"paid",2011-04-01
"39689",186196,"not paid",NA
"39690",186205,"paid",2011-04-01
"39691",186207,"paid",2011-04-01
"39692",186208,"paid",2011-04-01
"39693",186210,"paid",2011-05-01
"39694",186211,"paid",2010-10-01
"39695",186212,"paid",2011-04-01
"39696",186213,"paid",2011-04-01
"39697",186224,"not paid",NA
"39698",186236,"paid",2011-11-01
"39699",186237,"paid",2011-06-01
"39700",186244,"paid",2011-05-01
"39701",186245,"paid",2010-07-01
"39702",186252,"paid",2010-07-01
"39703",186257,"paid",2010-07-01
"39704",186262,"paid",2011-05-01
"39705",186265,"paid",2011-03-01
"39706",186268,"paid",2010-08-01
"39707",186270,"paid",2010-07-01
"39708",186272,"paid",2011-03-01
"39709",186277,"paid",2010-09-01
"39710",186290,"not paid",NA
"39711",186292,"paid",2010-08-01
"39712",186294,"not paid",NA
"39713",186296,"paid",2011-11-01
"39714",186300,"paid",2011-03-01
"39715",186301,"paid",2010-10-01
"39716",186303,"not paid",NA
"39717",186305,"paid",2011-05-01
