Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,615.974477038703,725.09324687688,857.856307095633,772.123803641988,796.630520987496,705.477974263661,686.558285433815
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1996.05712927664,2635.35388202963,3324.73587905411,2822.66743023352,3233.29594347421,4021.74330617286,4421.81824228013
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,36353.8803343631,41640.0808695147,45612.7106221441,41650.3678297162,41572.4559481507,46705.8957963353,43855.8544658618
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,884.941312734753,1047.22076256788,1178.92786830433,1043.9804678131,1258.94923018324,1501.08385003017,1536.59184802508
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,24821.9367451879,28863.9732885018,32127.9831943287,29828.7560245271,26716.6488260274,25483.8825644931,21912.9982879517
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,35458.1231210482,39780.9514445753,44367.0556497873,44918.5648770756,43988.3324931946,47186.9814680048,45936.7659516989
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,6295.28117153806,6790.63408004111,7343.44526962639,6810.44031784436,6760.96124360315,6775.7525011393,6900.77178600369
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,25735.5396994079,26686.8168217379,28277.432083776,29335.2776765099,30011.2185803948,30087.7155914011,31642.1462570316
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,2251.08796275499,2490.74912665208,2802.46196190125,2651.81712283814,2852.54732650116,3228.0457411296,3355.03691881272
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,452.2761597158,657.993474435696,712.099416689035,670.261258794354,667.281604343068,644.50254459569,707.967680829951
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,418.902098982343,480.438620708702,583.26836011893,543.562496226161,542.284059816737,683.534513296715,598.572671326768
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,3138.08272642719,3609.90792061468,4011.38755365136,4213.81622922287,4589.87324147321,4960.00472639074,5461.39096662381
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,811.339749693889,1010.82040511242,1095.03445218489,1191.80415583743,1204.86230440584,1306.84612967841,1356.17288178571
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1409.58034504869,1559.88604406996,1713.41435757299,1762.34916029174,1874.27170372599,2053.96425516299,2107.35083070622
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,28224.2150609389,30594.0178410231,31515.6627713018,30697.340383517,32549.998231121,35142.4879344543,36730.8767001128
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,11489.5608654088,13940.9092761999,15772.3300839383,13077.305465178,13217.5045951108,14234.471576937,12984.8365730133
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,57492.9342498703,69495.7267376825,56943.3704468563,41301.273219718,43237.0729488958,47714.5922308485,45995.5478789467
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,802.01374204738,1022.73162874643,993.503772474691,1096.63498033497,1350.63432207085,1449.60178853415,1434.01819806113
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1572.79793405494,1840.32992667702,2144.38954419985,2239.09526528198,3094.44308989745,3613.80090208324,3668.21207047486
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,3736.17779257835,4838.00355609278,5623.91168097394,5602.55628183187,6458.57393556621,8201.58170850865,8329.00204422921
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,2253.54711274949,3099.59196989479,4504.50809414268,3686.4021329943,4430.42624189518,5736.89895897239,6437.50307624074
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,54329.1618599624,61396.417461176,61353.1065629523,52133.0906162544,48663.6004439251,52183.1329312154,49054.6974340641
